MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength
,,,,10041341000033115,28401011000001108,Biquelle XL 200mg tablets (Aspire Pharma Ltd),Biquelle XL 200mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,200.000mg
,,,,10041441000033114,28400611000001106,Biquelle XL 300mg tablets (Aspire Pharma Ltd),Biquelle XL 300mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,300.000mg
,,,,10041541000033110,28400811000001105,Biquelle XL 400mg tablets (Aspire Pharma Ltd),Biquelle XL 400mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,400.000mg
,,,,10041741000033119,28411511000001102,Zaluron XL 50mg tablets (Fontus Health Ltd),Zaluron XL 50mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,50.000mg
,,,,10041841000033112,28411711000001107,Zaluron XL 150mg tablets (Fontus Health Ltd),Zaluron XL 150mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,150.000mg
,,,,10041941000033116,28411911000001109,Zaluron XL 200mg tablets (Fontus Health Ltd),Zaluron XL 200mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,200.000mg
,,,,10042041000033110,28412111000001101,Zaluron XL 300mg tablets (Fontus Health Ltd),Zaluron XL 300mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,300.000mg
,,,,10042141000033114,28412311000001104,Zaluron XL 400mg tablets (Fontus Health Ltd),Zaluron XL 400mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,400.000mg
,,,,10254741000033110,28994711000001109,Mintreleq XL 50mg tablets (Aristo Pharma Ltd),Mintreleq XL 50mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,50.000mg
,,,,10254841000033117,28994911000001106,Mintreleq XL 150mg tablets (Aristo Pharma Ltd),Mintreleq XL 150mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,150.000mg
,,,,10254941000033113,28995111000001107,Mintreleq XL 200mg tablets (Aristo Pharma Ltd),Mintreleq XL 200mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,200.000mg
,,,,10255041000033113,28995611000001104,Mintreleq XL 300mg tablets (Aristo Pharma Ltd),Mintreleq XL 300mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,300.000mg
,,,,10255141000033112,28995811000001100,Mintreleq XL 400mg tablets (Aristo Pharma Ltd),Mintreleq XL 400mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,400.000mg
,,,,10493341000033115,8528311000001100,Haloperidol 500micrograms/5ml oral solution,Haloperidol 500micrograms/5ml oral solution,Oral solution,Oral,Haloperidol,100.000microgram/1.000ml
,,,,10493441000033114,8528411000001107,Haloperidol 500micrograms/5ml oral suspension,Haloperidol 500micrograms/5ml oral suspension,Oral suspension,Oral,Haloperidol,100.000microgram/1.000ml
,,,,10615141000033115,27842211000001101,Atrolak XL 50mg tablets (Accord Healthcare Ltd),Atrolak XL 50mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,50.000mg
,,,,10615241000033110,27842411000001102,Atrolak XL 200mg tablets (Accord Healthcare Ltd),Atrolak XL 200mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,200.000mg
,,,,10615341000033117,27842611000001104,Atrolak XL 300mg tablets (Accord Healthcare Ltd),Atrolak XL 300mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,300.000mg
,,,,10615441000033111,27842811000001100,Atrolak XL 400mg tablets (Accord Healthcare Ltd),Atrolak XL 400mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,400.000mg
,,,,1086741000033114,3822011000001103,Piportil Depot 50mg/1ml solution for injection ampoules (Sanofi),Piportil Depot 50mg/1ml solution for injection ampoules,Solution for injection,Intramuscular,Pipotiazine palmitate,50.000mg/1.000ml
,,,,1087341000033110,8823211000001101,Piportil Depot 100mg/2ml solution for injection ampoules (Sanofi),Piportil Depot 100mg/2ml solution for injection ampoules,Solution for injection,Intramuscular,Pipotiazine palmitate,50.000mg/1.000ml
,,,,10946341000033116,31087211000001107,Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes,Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes,Powder and solvent for suspension for injection,Intramuscular,Aripiprazole,400.000mg
,,,,10946441000033110,31078011000001108,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes,Powder and solvent for suspension for injection,Intramuscular,Aripiprazole,400.000mg
,,,,1150041000033111,321625005,Quetiapine 100mg tablets,Quetiapine 100mg tablets,Tablet,Oral,Quetiapine fumarate,100.000mg
,,,,1150141000033110,321626006,Quetiapine 200mg tablets,Quetiapine 200mg tablets,Tablet,Oral,Quetiapine fumarate,200.000mg
,,,,1150241000033115,321624009,Quetiapine 25mg tablets,Quetiapine 25mg tablets,Tablet,Oral,Quetiapine fumarate,25.000mg
,,,,11578941000033118,32503211000001102,Psyquet XL 50mg tablets (Sandoz Ltd),Psyquet XL 50mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,50.000mg
,,,,11579241000033119,32503411000001103,Psyquet XL 150mg tablets (Sandoz Ltd),Psyquet XL 150mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,150.000mg
,,,,11579341000033112,32503611000001100,Psyquet XL 200mg tablets (Sandoz Ltd),Psyquet XL 200mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,200.000mg
,,,,11579441000033118,32503811000001101,Psyquet XL 300mg tablets (Sandoz Ltd),Psyquet XL 300mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,300.000mg
,,,,11579541000033117,32504011000001109,Psyquet XL 400mg tablets (Sandoz Ltd),Psyquet XL 400mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,400.000mg
,,,,11730041000033115,22635511000001100,Quetiapine 200mg/5ml oral suspension,Quetiapine 200mg/5ml oral suspension,Oral suspension,Oral,Quetiapine fumarate,40.000mg/1.000ml
,,,,1173841000033113,343311000001101,Risperdal 1mg/ml oral solution (Janssen-Cilag Ltd),Risperdal 1mg/ml oral solution,Oral solution,Oral,Risperidone,1.000mg/1.000ml
,,,,1173941000033117,321597002,Risperidone 1mg/ml oral solution sugar free,Risperidone 1mg/ml oral solution sugar free,Oral solution,Oral,Risperidone,1.000mg/1.000ml
,,,,11753641000033118,33391011000001100,Quetiapine 20mg/ml oral suspension sugar free,Quetiapine 20mg/ml oral suspension sugar free,Oral suspension,Oral,Quetiapine fumarate,20.000mg/1.000ml
,,,,1176241000033115,589911000001105,Risperdal 1mg tablets (Janssen-Cilag Ltd),Risperdal 1mg tablets,Tablet,Oral,Risperidone,1.000mg
,,,,1176341000033113,858911000001109,Risperdal 2mg tablets (Janssen-Cilag Ltd),Risperdal 2mg tablets,Tablet,Oral,Risperidone,2.000mg
,,,,1176441000033119,518911000001100,Risperdal 3mg tablets (Janssen-Cilag Ltd),Risperdal 3mg tablets,Tablet,Oral,Risperidone,3.000mg
,,,,1176541000033118,429611000001104,Risperdal 4mg tablets (Janssen-Cilag Ltd),Risperdal 4mg tablets,Tablet,Oral,Risperidone,4.000mg
,,,,1176641000033117,321589009,Risperidone 1mg tablets,Risperidone 1mg tablets,Tablet,Oral,Risperidone,1.000mg
,,,,1176741000033114,321590000,Risperidone 2mg tablets,Risperidone 2mg tablets,Tablet,Oral,Risperidone,2.000mg
,,,,1176841000033116,321591001,Risperidone 3mg tablets,Risperidone 3mg tablets,Tablet,Oral,Risperidone,3.000mg
,,,,1176941000033112,321592008,Risperidone 4mg tablets,Risperidone 4mg tablets,Tablet,Oral,Risperidone,4.000mg
,,,,1177641000033119,153111000001109,Risperdal 6mg tablets (Janssen-Cilag Ltd),Risperdal 6mg tablets,Tablet,Oral,Risperidone,6.000mg
,,,,1177741000033111,321599004,Risperidone 6mg tablets,Risperidone 6mg tablets,Tablet,Oral,Risperidone,6.000mg
,,,,11781941000033118,33569711000001103,Brancico XL 150mg tablets (Zentiva Pharma UK Ltd),Brancico XL 150mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,150.000mg
,,,,11782041000033112,33569011000001100,Brancico XL 200mg tablets (Zentiva Pharma UK Ltd),Brancico XL 200mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,200.000mg
,,,,11782141000033111,33568811000001104,Brancico XL 300mg tablets (Zentiva Pharma UK Ltd),Brancico XL 300mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,300.000mg
,,,,11782241000033116,33570111000001101,Brancico XL 400mg tablets (Zentiva Pharma UK Ltd),Brancico XL 400mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,400.000mg
,,,,11782341000033114,33569911000001101,Brancico XL 50mg tablets (Zentiva Pharma UK Ltd),Brancico XL 50mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,50.000mg
,,,,11876741000033116,18956611000001104,Chlorpromazine 25mg/5ml oral solution sugar free,Chlorpromazine 25mg/5ml oral solution sugar free,Oral solution,Oral,Chlorpromazine hydrochloride,5.000mg/1.000ml
,,,,12428041000033114,34936811000001101,Atrolak XL 150mg tablets (Accord Healthcare Ltd),Atrolak XL 150mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,150.000mg
,,,,12667641000033113,321387007,Chlorpromazine 100mg suppositories,Chlorpromazine 100mg suppositories,Suppository,Rectal,Chlorpromazine hydrochloride,100.000mg
,,,,1268341000033116,522711000001106,Serenace 500microgram capsules (Teva UK Ltd),Serenace 500microgram capsules,Capsule,Oral,Haloperidol,500.000microgram
,,,,1269741000033112,502611000001107,Serenace 2mg/ml liquid (Teva UK Ltd),Serenace 2mg/ml liquid,Oral solution,Oral,Haloperidol,2.000mg/1.000ml
,,,,1271541000033112,3927511000001104,Serenace 20mg/2ml solution for injection ampoules (IVAX Pharmaceuticals UK Ltd),Serenace 20mg/2ml solution for injection ampoules,Solution for injection,Intravenous/ Intramuscular,Haloperidol,10.000mg/1.000ml
,,,,1271641000033113,3245711000001101,Serenace 5mg/1ml solution for injection ampoules (IVAX Pharmaceuticals UK Ltd),Serenace 5mg/1ml solution for injection ampoules,Solution for injection,Intravenous/ Intramuscular,Haloperidol,5.000mg/1.000ml
,,,,1275941000033115,899811000001103,Serenace 1.5mg tablets (Teva UK Ltd),Serenace 1.5mg tablets,Tablet,Oral,Haloperidol,1.500mg
,,,,1276041000033113,113611000001108,Serenace 10mg tablets (Teva UK Ltd),Serenace 10mg tablets,Tablet,Oral,Haloperidol,10.000mg
,,,,1276141000033112,387311000001101,Serenace 20mg tablets (Teva UK Ltd),Serenace 20mg tablets,Tablet,Oral,Haloperidol,20.000mg
,,,,1276241000033117,228411000001106,Serenace 5mg tablets (Teva UK Ltd),Serenace 5mg tablets,Tablet,Oral,Haloperidol,5.000mg
,,,,1277641000033116,340911000001108,Seroquel 100mg tablets (Luye Pharma Ltd),Seroquel 100mg tablets,Tablet,Oral,Quetiapine fumarate,100.000mg
,,,,1277741000033113,476411000001108,Seroquel 200mg tablets (Luye Pharma Ltd),Seroquel 200mg tablets,Tablet,Oral,Quetiapine fumarate,200.000mg
,,,,1277841000033115,596211000001109,Seroquel 25mg tablets (Luye Pharma Ltd),Seroquel 25mg tablets,Tablet,Oral,Quetiapine fumarate,25.000mg
,,,,12910641000033110,36753211000001109,Topiramate 50mg/5ml oral suspension sugar free,Topiramate 50mg/5ml oral suspension sugar free,Oral suspension,Oral,Topiramate,10.000mg/1.000ml
,,,,12910741000033118,36753111000001103,Topiramate 100mg/5ml oral suspension sugar free,Topiramate 100mg/5ml oral suspension sugar free,Oral suspension,Oral,Topiramate,20.000mg/1.000ml
,,,,12988741000033118,36905011000001104,Olanzapine 2.5mg orodispersible tablets sugar free,Olanzapine 2.5mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Olanzapine,2.500mg
,,,,12988841000033111,36905111000001103,Olanzapine 7.5mg orodispersible tablets sugar free,Olanzapine 7.5mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Olanzapine,7.500mg
,,,,12990341000033118,36868411000001105,Arpoya 5mg tablets (Torrent Pharma (UK) Ltd),Arpoya 5mg tablets,Tablet,Oral,Aripiprazole,5.000mg
,,,,13158341000033119,37697511000001102,Clozapine 100mg orodispersible tablets sugar free,Clozapine 100mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Clozapine,100.000mg
,,,,13158441000033113,37697711000001107,Clozapine 12.5mg orodispersible tablets sugar free,Clozapine 12.5mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Clozapine,12.500mg
,,,,13158541000033114,37697811000001104,Clozapine 200mg orodispersible tablets sugar free,Clozapine 200mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Clozapine,200.000mg
,,,,13158641000033110,37697911000001109,Clozapine 25mg orodispersible tablets sugar free,Clozapine 25mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Clozapine,25.000mg
,,,,13158741000033118,37698011000001106,Clozapine 50mg orodispersible tablets sugar free,Clozapine 50mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Clozapine,50.000mg
,,,,13353241000033112,37249011000001105,Aripiprazole 1mg/ml oral solution sugar free,Aripiprazole 1mg/ml oral solution sugar free,Oral solution,Oral,Aripiprazole,1.000mg/1.000ml
,,,,13581641000033117,38696711000001103,Risperidone 250microgram tablets,Risperidone 250microgram tablets,Tablet,Oral,Risperidone,250.000microgram
,,,,1366641000033118,319511000001103,Solian 200 tablets (Sanofi),Solian 200 tablets,Tablet,Oral,Amisulpride,200.000mg
,,,,1366741000033110,24311000001100,Solian 50 tablets (Sanofi),Solian 50 tablets,Tablet,Oral,Amisulpride,50.000mg
,,,,13734841000033110,39027411000001105,Quetiapine 600mg modified-release tablets,Quetiapine 600mg modified-release tablets,Modified-release tablet,Oral,Quetiapine fumarate,600.000mg
,,,,13734941000033119,39005011000001102,Biquelle XL 600mg tablets (Aspire Pharma Ltd),Biquelle XL 600mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,600.000mg
,,,,1385341000033116,213711000001101,Stelazine 10mg Spansules (Mercury Pharma Group Ltd),Stelazine 10mg Spansules,Modified-release capsule,Oral,Trifluoperazine hydrochloride,10.000mg
,,,,1385441000033110,710411000001106,Stelazine 15mg Spansules (Mercury Pharma Group Ltd),Stelazine 15mg Spansules,Modified-release capsule,Oral,Trifluoperazine hydrochloride,15.000mg
,,,,1385541000033111,714111000001105,Stelazine 2mg Spansules (Mercury Pharma Group Ltd),Stelazine 2mg Spansules,Modified-release capsule,Oral,Trifluoperazine hydrochloride,2.000mg
,,,,1385941000033117,636711000001103,Stelazine 1mg/5ml syrup (Mercury Pharma Group Ltd),Stelazine 1mg/5ml syrup,Oral solution,Oral,Trifluoperazine hydrochloride,200.000microgram/1.000ml
,,,,1386341000033112,325311000001103,Stelazine 1mg tablets (Mercury Pharma Group Ltd),Stelazine 1mg tablets,Tablet,Oral,Trifluoperazine hydrochloride,1.000mg
,,,,1386441000033118,45811000001107,Stelazine 5mg tablets (Mercury Pharma Group Ltd),Stelazine 5mg tablets,Tablet,Oral,Trifluoperazine hydrochloride,5.000mg
,,,,1396441000033117,321514005,Sulpiride 200mg tablets,Sulpiride 200mg tablets,Tablet,Oral,Sulpiride,200.000mg
,,,,1396541000033116,246411000001108,Sulpitil 200mg tablets (Pfizer Ltd),Sulpitil 200mg tablets,Tablet,Oral,Sulpiride,200.000mg
,,,,1397641000033117,321512009,Sulpiride 400mg tablets,Sulpiride 400mg tablets,Tablet,Oral,Sulpiride,400.000mg
,,,,1450441000033115,823811000001105,Topamax 100mg tablets (Janssen-Cilag Ltd),Topamax 100mg tablets,Tablet,Oral,Topiramate,100.000mg
,,,,1450541000033119,235111000001108,Topamax 200mg tablets (Janssen-Cilag Ltd),Topamax 200mg tablets,Tablet,Oral,Topiramate,200.000mg
,,,,1450641000033118,138611000001109,Topamax 50mg tablets (Janssen-Cilag Ltd),Topamax 50mg tablets,Tablet,Oral,Topiramate,50.000mg
,,,,1451441000033112,290011000001107,Topamax 25mg tablets (Janssen-Cilag Ltd),Topamax 25mg tablets,Tablet,Oral,Topiramate,25.000mg
,,,,1451541000033113,323024000,Topiramate 100mg tablets,Topiramate 100mg tablets,Tablet,Oral,Topiramate,100.000mg
,,,,1451641000033114,323025004,Topiramate 200mg tablets,Topiramate 200mg tablets,Tablet,Oral,Topiramate,200.000mg
,,,,1451741000033117,323029005,Topiramate 25mg tablets,Topiramate 25mg tablets,Tablet,Oral,Topiramate,25.000mg
,,,,1451841000033110,323023006,Topiramate 50mg tablets,Topiramate 50mg tablets,Tablet,Oral,Topiramate,50.000mg
,,,,1464141000033113,38750711000001100,Trifluoperazine 5mg/5ml oral solution sugar free,Trifluoperazine 5mg/5ml oral solution sugar free,Oral solution,Oral,Trifluoperazine hydrochloride,1.000mg/1.000ml
,,,,1466941000033117,36143111000001105,Trifluoperazine 10mg modified-release capsules,Trifluoperazine 10mg modified-release capsules,Modified-release capsule,Oral,Trifluoperazine hydrochloride,10.000mg
,,,,1467041000033116,36143211000001104,Trifluoperazine 15mg modified-release capsules,Trifluoperazine 15mg modified-release capsules,Modified-release capsule,Oral,Trifluoperazine hydrochloride,15.000mg
,,,,1467141000033117,36143511000001101,Trifluoperazine 2mg modified-release capsules,Trifluoperazine 2mg modified-release capsules,Modified-release capsule,Oral,Trifluoperazine hydrochloride,2.000mg
,,,,1467641000033110,36143311000001107,Trifluoperazine 1mg/5ml oral solution sugar free,Trifluoperazine 1mg/5ml oral solution sugar free,Oral solution,Oral,Trifluoperazine hydrochloride,200.000microgram/1.000ml
,,,,1470641000033116,39706011000001108,Trifluoperazine 1mg tablets,Trifluoperazine 1mg tablets,Tablet,Oral,Trifluoperazine hydrochloride,1.000mg
,,,,1470741000033113,39706211000001103,Trifluoperazine 5mg tablets,Trifluoperazine 5mg tablets,Tablet,Oral,Trifluoperazine hydrochloride,5.000mg
,,,,1563441000033114,36151811000001100,Zuclopenthixol acetate 100mg/2ml solution for injection ampoules,Zuclopenthixol acetate 100mg/2ml solution for injection ampoules,Solution for injection,Intramuscular,Zuclopenthixol acetate,50.000mg/1.000ml
,,,,1563541000033110,36152011000001103,Zuclopenthixol acetate 50mg/1ml solution for injection ampoules,Zuclopenthixol acetate 50mg/1ml solution for injection ampoules,Solution for injection,Intramuscular,Zuclopenthixol acetate,50.000mg/1.000ml
,,,,1563641000033111,36152111000001102,Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules,Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules,Solution for injection,Intramuscular,Zuclopenthixol decanoate,200.000mg/1.000ml
,,,,1563741000033119,36152211000001108,Zuclopenthixol decanoate 500mg/1ml solution for injection ampoules,Zuclopenthixol decanoate 500mg/1ml solution for injection ampoules,Solution for injection,Intramuscular,Zuclopenthixol decanoate,500.000mg/1.000ml
,,,,1564041000033119,39707711000001108,Zuclopenthixol 10mg tablets,Zuclopenthixol 10mg tablets,Tablet,Oral,Zuclopenthixol dihydrochloride,10.000mg
,,,,1564141000033115,39707911000001105,Zuclopenthixol 2mg tablets,Zuclopenthixol 2mg tablets,Tablet,Oral,Zuclopenthixol dihydrochloride,2.000mg
,,,,1564241000033110,39708111000001108,Zuclopenthixol 25mg tablets,Zuclopenthixol 25mg tablets,Tablet,Oral,Zuclopenthixol dihydrochloride,25.000mg
,,,,1565141000033119,486611000001101,Zyprexa 10mg tablets (Eli Lilly and Company Ltd),Zyprexa 10mg tablets,Tablet,Oral,Olanzapine,10.000mg
,,,,1565241000033114,467011000001109,Zyprexa 5mg tablets (Eli Lilly and Company Ltd),Zyprexa 5mg tablets,Tablet,Oral,Olanzapine,5.000mg
,,,,1565341000033116,776911000001109,Zyprexa 7.5mg tablets (Eli Lilly and Company Ltd),Zyprexa 7.5mg tablets,Tablet,Oral,Olanzapine,7.500mg
,,,,1661141000033114,321618003,Olanzapine 2.5mg tablets,Olanzapine 2.5mg tablets,Tablet,Oral,Olanzapine,2.500mg
,,,,1698441000033110,35931111000001108,Sulpiride 200mg/5ml oral solution sugar free,Sulpiride 200mg/5ml oral solution sugar free,Oral solution,Oral,Sulpiride,40.000mg/1.000ml
,,,,1713941000033118,337311000001109,Zyprexa 2.5mg tablets (Eli Lilly and Company Ltd),Zyprexa 2.5mg tablets,Tablet,Oral,Olanzapine,2.500mg
,,,,1719341000033115,8359411000001103,Chlorpromazine 100mg/5ml oral solution,Chlorpromazine 100mg/5ml oral solution,Oral solution,Oral,Chlorpromazine hydrochloride,20.000mg/1.000ml
,,,,1844641000033118,39703111000001104,Quetiapine 150mg tablets,Quetiapine 150mg tablets,Tablet,Oral,Quetiapine fumarate,150.000mg
,,,,1844741000033110,4111000001106,Seroquel 150mg tablets (AstraZeneca UK Ltd),Seroquel 150mg tablets,Tablet,Oral,Quetiapine fumarate,150.000mg
,,,,1847941000033118,4205011000001105,Topamax 15mg sprinkle capsules (Janssen-Cilag Ltd),Topamax 15mg sprinkle capsules,Capsule,Oral,Topiramate,15.000mg
,,,,1848041000033115,4206011000001101,Topamax 25mg sprinkle capsules (Janssen-Cilag Ltd),Topamax 25mg sprinkle capsules,Capsule,Oral,Topiramate,25.000mg
,,,,2077741000033115,321622008,Olanzapine 5mg oral lyophilisates sugar free,Olanzapine 5mg oral lyophilisates sugar free,Oral lyophilisate,Oral,Olanzapine,5.000mg
,,,,2077841000033113,321623003,Olanzapine 10mg oral lyophilisates sugar free,Olanzapine 10mg oral lyophilisates sugar free,Oral lyophilisate,Oral,Olanzapine,10.000mg
,,,,2077941000033117,91711000001108,Zyprexa 5mg Velotabs (Eli Lilly and Company Ltd),Zyprexa 5mg Velotabs,Oral lyophilisate,Oral,Olanzapine,5.000mg
,,,,2078041000033119,897111000001104,Zyprexa 10mg Velotabs (Eli Lilly and Company Ltd),Zyprexa 10mg Velotabs,Oral lyophilisate,Oral,Olanzapine,10.000mg
,,,,2188141000033115,526611000001101,Risperdal 500microgram tablets (Janssen-Cilag Ltd),Risperdal 500microgram tablets,Tablet,Oral,Risperidone,500.000microgram
,,,,2188241000033110,321602009,Risperidone 500microgram tablets,Risperidone 500microgram tablets,Tablet,Oral,Risperidone,500.000microgram
,,,,2216641000033113,134517009,Amisulpride 400mg tablets,Amisulpride 400mg tablets,Tablet,Oral,Amisulpride,400.000mg
,,,,2216741000033116,254011000001107,Solian 400 tablets (Sanofi),Solian 400 tablets,Tablet,Oral,Amisulpride,400.000mg
,,,,2217641000033111,4206411000001105,Topamax 50mg sprinkle capsules (Janssen-Cilag Ltd),Topamax 50mg sprinkle capsules,Capsule,Oral,Topiramate,50.000mg
,,,,240041000033110,36138311000001103,Chlorpromazine 25mg/5ml oral solution,Chlorpromazine 25mg/5ml oral solution,Oral solution,Oral,Chlorpromazine hydrochloride,5.000mg/1.000ml
,,,,241341000033116,36138411000001105,Chlorpromazine 50mg/2ml solution for injection ampoules,Chlorpromazine 50mg/2ml solution for injection ampoules,Solution for injection,Intramuscular,Chlorpromazine hydrochloride,25.000mg/1.000ml
,,,,246641000033118,36137911000001103,Chlorpromazine 100mg/5ml oral suspension sugar free,Chlorpromazine 100mg/5ml oral suspension sugar free,Oral suspension,Oral,Chlorpromazine embonate,20.000mg/1.000ml
,,,,249041000033117,321365003,Chlorpromazine 10mg tablets,Chlorpromazine 10mg tablets,Tablet,Oral,Chlorpromazine hydrochloride,10.000mg
,,,,249141000033118,321368001,Chlorpromazine 100mg tablets,Chlorpromazine 100mg tablets,Tablet,Oral,Chlorpromazine hydrochloride,100.000mg
,,,,249241000033113,321366002,Chlorpromazine 25mg tablets,Chlorpromazine 25mg tablets,Tablet,Oral,Chlorpromazine hydrochloride,25.000mg
