MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength
,,,,1500041000033112,323008001,Valproic acid 150mg gastro-resistant capsules,Valproic acid 150mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Valproic acid,150.000mg
,,,,1500141000033111,323009009,Valproic acid 300mg gastro-resistant capsules,Valproic acid 300mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Valproic acid,300.000mg
,,,,1500241000033116,323010004,Valproic acid 500mg gastro-resistant capsules,Valproic acid 500mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Valproic acid,500.000mg
,,,,325841000033119,3920911000001105,Convulex 150mg gastro-resistant capsules (G.L. Pharma UK Ltd),Convulex 150mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Valproic acid,150.000mg
,,,,325941000033110,3921311000001104,Convulex 300mg gastro-resistant capsules (G.L. Pharma UK Ltd),Convulex 300mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Valproic acid,300.000mg
,,,,326041000033117,3921711000001100,Convulex 500mg gastro-resistant capsules (G.L. Pharma UK Ltd),Convulex 500mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Valproic acid,500.000mg
,,,,4434841000033115,13115611000001103,Episenta 1g/10ml solution for injection ampoules (Beacon Pharmaceuticals Ltd),Episenta 1g/10ml solution for injection ampoules,Solution for injection,Intravenous,Sodium valproate,100.000mg/1.000ml
,,,,5323841000033119,16178611000001107,Zebinix 800mg tablets (BIAL Pharma UK Ltd),Zebinix 800mg tablets,Tablet,Oral,Eslicarbazepine acetate,800.000mg
,,,,5323941000033110,16197411000001103,Eslicarbazepine 800mg tablets,Eslicarbazepine 800mg tablets,Tablet,Oral,Eslicarbazepine acetate,800.000mg
,,,,6013841000033113,15534611000001106,Pregabalin 75mg oral powder sachets,Pregabalin 75mg oral powder sachets,Powder,Route of administration not applicable,Pregabalin,75.000mg
,,,,623641000033112,204111000001102,Gardenal Sodium 200mg/1ml solution for injection ampoules (Concord Pharmaceuticals Ltd),Gardenal Sodium 200mg/1ml solution for injection ampoules,Solution for injection,Subcutaneous/ Intravenous/ Intramuscular,Phenobarbital sodium,200.000mg/1.000ml
,,,,6512241000033116,19870811000001108,Matever 500mg/5ml concentrate for solution for infusion vials (Aspire Pharma Ltd),Matever 500mg/5ml concentrate for solution for infusion vials,Solution for infusion,Intravenous,Levetiracetam,100.000mg/1.000ml
,,,,6512341000033114,19867811000001103,Matever 1g tablets (Aspire Pharma Ltd),Matever 1g tablets,Tablet,Oral,Levetiracetam,1.000gram
,,,,10205841000033114,28736711000001104,Rewisca 25mg capsules (Consilient Health Ltd),Rewisca 25mg capsules,Capsule,Oral,Pregabalin,25.000mg
,,,,10205941000033118,28737611000001105,Rewisca 50mg capsules (Consilient Health Ltd),Rewisca 50mg capsules,Capsule,Oral,Pregabalin,50.000mg
,,,,10206041000033111,28738211000001107,Rewisca 75mg capsules (Consilient Health Ltd),Rewisca 75mg capsules,Capsule,Oral,Pregabalin,75.000mg
,,,,10206141000033110,28736211000001106,Rewisca 100mg capsules (Consilient Health Ltd),Rewisca 100mg capsules,Capsule,Oral,Pregabalin,100.000mg
,,,,10206241000033115,28738711000001100,Rewisca 150mg capsules (Consilient Health Ltd),Rewisca 150mg capsules,Capsule,Oral,Pregabalin,150.000mg
,,,,10206341000033113,28739111000001108,Rewisca 200mg capsules (Consilient Health Ltd),Rewisca 200mg capsules,Capsule,Oral,Pregabalin,200.000mg
,,,,10206441000033119,28740211000001105,Rewisca 225mg capsules (Consilient Health Ltd),Rewisca 225mg capsules,Capsule,Oral,Pregabalin,225.000mg
,,,,10206541000033118,28742111000001100,Rewisca 300mg capsules (Consilient Health Ltd),Rewisca 300mg capsules,Capsule,Oral,Pregabalin,300.000mg
,,,,10220341000033117,28909711000001107,Lecaent 25mg capsules (Accord Healthcare Ltd),Lecaent 25mg capsules,Capsule,Oral,Pregabalin,25.000mg
,,,,10220441000033111,28910011000001104,Lecaent 50mg capsules (Accord Healthcare Ltd),Lecaent 50mg capsules,Capsule,Oral,Pregabalin,50.000mg
,,,,10220541000033112,28910211000001109,Lecaent 75mg capsules (Actavis UK Ltd),Lecaent 75mg capsules,Capsule,Oral,Pregabalin,75.000mg
,,,,10220641000033113,28910411000001108,Lecaent 100mg capsules (Accord Healthcare Ltd),Lecaent 100mg capsules,Capsule,Oral,Pregabalin,100.000mg
,,,,10220741000033116,28910611000001106,Lecaent 150mg capsules (Accord Healthcare Ltd),Lecaent 150mg capsules,Capsule,Oral,Pregabalin,150.000mg
,,,,10220841000033114,28910811000001105,Lecaent 200mg capsules (Accord Healthcare Ltd),Lecaent 200mg capsules,Capsule,Oral,Pregabalin,200.000mg
,,,,10220941000033118,28911011000001108,Lecaent 225mg capsules (Accord Healthcare Ltd),Lecaent 225mg capsules,Capsule,Oral,Pregabalin,225.000mg
,,,,10221041000033111,28911211000001103,Lecaent 300mg capsules (Actavis UK Ltd),Lecaent 300mg capsules,Capsule,Oral,Pregabalin,300.000mg
,,,,10229041000033112,28947311000001109,Levetiracetam 500mg/5ml solution for infusion ampoules,Levetiracetam 500mg/5ml solution for infusion ampoules,Solution for infusion,Intravenous,Levetiracetam,100.000mg/1.000ml
,,,,10229241000033116,28645811000001109,Desitrend 500mg/5ml concentrate for solution for infusion ampoules (Desitin Pharma Ltd),Desitrend 500mg/5ml concentrate for solution for infusion ampoules,Solution for infusion,Intravenous,Levetiracetam,100.000mg/1.000ml
,,,,10253941000033110,28996411000001106,Alzain 25mg capsules (Dr Reddy's Laboratories (UK) Ltd),Alzain 25mg capsules,Capsule,Oral,Pregabalin,25.000mg
,,,,10254041000033112,28996611000001109,Alzain 50mg capsules (Dr Reddy's Laboratories (UK) Ltd),Alzain 50mg capsules,Capsule,Oral,Pregabalin,50.000mg
,,,,10254141000033111,28996911000001103,Alzain 75mg capsules (Dr Reddy's Laboratories (UK) Ltd),Alzain 75mg capsules,Capsule,Oral,Pregabalin,75.000mg
,,,,10254241000033116,28997111000001103,Alzain 100mg capsules (Dr Reddy's Laboratories (UK) Ltd),Alzain 100mg capsules,Capsule,Oral,Pregabalin,100.000mg
,,,,10254341000033114,28997311000001101,Alzain 150mg capsules (Dr Reddy's Laboratories (UK) Ltd),Alzain 150mg capsules,Capsule,Oral,Pregabalin,150.000mg
,,,,10254441000033115,28997511000001107,Alzain 200mg capsules (Dr Reddy's Laboratories (UK) Ltd),Alzain 200mg capsules,Capsule,Oral,Pregabalin,200.000mg
,,,,10254541000033119,28997711000001102,Alzain 225mg capsules (Dr Reddy's Laboratories (UK) Ltd),Alzain 225mg capsules,Capsule,Oral,Pregabalin,225.000mg
,,,,10254641000033118,28997911000001100,Alzain 300mg capsules (Dr Reddy's Laboratories (UK) Ltd),Alzain 300mg capsules,Capsule,Oral,Pregabalin,300.000mg
,,,,1068641000033115,322942004,Phenytoin sodium 300mg capsules,Phenytoin sodium 300mg capsules,Capsule,Oral,Phenytoin sodium,300.000mg
,,,,1068841000033119,39025611000001101,Phenytoin sodium 100mg capsules,Phenytoin sodium 100mg capsules,Capsule,Oral,Phenytoin sodium,100.000mg
,,,,1068941000033110,322943009,Phenytoin sodium 25mg capsules,Phenytoin sodium 25mg capsules,Capsule,Oral,Phenytoin sodium,25.000mg
,,,,1069041000033118,322944003,Phenytoin sodium 50mg capsules,Phenytoin sodium 50mg capsules,Capsule,Oral,Phenytoin sodium,50.000mg
,,,,10702041000033117,35939311000001109,Phenobarbital 30mg/1ml solution for injection ampoules,Phenobarbital 30mg/1ml solution for injection ampoules,Solution for injection,Subcutaneous/ Intramuscular/ Intravenous,Phenobarbital sodium,30.000mg/1.000ml
,,,,10702141000033118,35939411000001102,Phenobarbital 60mg/1ml solution for injection ampoules,Phenobarbital 60mg/1ml solution for injection ampoules,Solution for injection,Subcutaneous/ Intramuscular/ Intravenous,Phenobarbital sodium,60.000mg/1.000ml
,,,,1074441000033118,36015611000001102,Phenytoin sodium 250mg/5ml solution for injection ampoules,Phenytoin sodium 250mg/5ml solution for injection ampoules,Solution for injection,Intravenous/ Intramuscular,Phenytoin sodium,50.000mg/1.000ml
,,,,1074641000033116,322930009,Phenytoin 50mg chewable tablets,Phenytoin 50mg chewable tablets,Chewable tablet,Oral,Phenytoin,50.000mg
,,,,1082141000033114,322934000,Phenytoin sodium 100mg tablets,Phenytoin sodium 100mg tablets,Tablet,Oral,Phenytoin sodium,100.000mg
,,,,1082541000033117,322933006,Phenytoin sodium 50mg tablets,Phenytoin sodium 50mg tablets,Tablet,Oral,Phenytoin sodium,50.000mg
,,,,11028241000033112,31533711000001103,Brivaracetam 100mg tablets,Brivaracetam 100mg tablets,Tablet,Oral,Brivaracetam,100.000mg
,,,,11028441000033113,31533811000001106,Brivaracetam 10mg tablets,Brivaracetam 10mg tablets,Tablet,Oral,Brivaracetam,10.000mg
,,,,11028541000033114,31534011000001103,Brivaracetam 25mg tablets,Brivaracetam 25mg tablets,Tablet,Oral,Brivaracetam,25.000mg
,,,,11028641000033110,31534111000001102,Brivaracetam 50mg tablets,Brivaracetam 50mg tablets,Tablet,Oral,Brivaracetam,50.000mg
,,,,11028741000033118,31534511000001106,Brivaracetam 75mg tablets,Brivaracetam 75mg tablets,Tablet,Oral,Brivaracetam,75.000mg
,,,,11028841000033111,31502611000001109,Briviact 100mg tablets (UCB Pharma Ltd),Briviact 100mg tablets,Tablet,Oral,Brivaracetam,100.000mg
,,,,11028941000033115,31499611000001107,Briviact 10mg tablets (UCB Pharma Ltd),Briviact 10mg tablets,Tablet,Oral,Brivaracetam,10.000mg
,,,,11029041000033112,31500511000001109,Briviact 25mg tablets (UCB Pharma Ltd),Briviact 25mg tablets,Tablet,Oral,Brivaracetam,25.000mg
,,,,11029141000033111,31501311000001108,Briviact 50mg tablets (UCB Pharma Ltd),Briviact 50mg tablets,Tablet,Oral,Brivaracetam,50.000mg
,,,,11029241000033116,31502211000001107,Briviact 75mg tablets (UCB Pharma Ltd),Briviact 75mg tablets,Tablet,Oral,Brivaracetam,75.000mg
,,,,1129241000033113,371194003,Primidone 250mg/5ml oral suspension,Primidone 250mg/5ml oral suspension,Oral suspension,Oral,Primidone,50.000mg/1.000ml
,,,,1139341000033117,322948000,Primidone 250mg tablets,Primidone 250mg tablets,Tablet,Oral,Primidone,250.000mg
,,,,11717841000033118,55611000001105,Phenytoin sodium 100mg tablets (Teva UK Ltd),Phenytoin sodium 100mg tablets,Tablet,Oral,Phenytoin sodium,100.000mg
,,,,11821741000033110,33709111000001104,Axalid 25mg capsules (Kent Pharma (UK) Ltd),Axalid 25mg capsules,Capsule,Oral,Pregabalin,25.000mg
,,,,11821841000033117,33709711000001103,Axalid 50mg capsules (Kent Pharma (UK) Ltd),Axalid 50mg capsules,Capsule,Oral,Pregabalin,50.000mg
,,,,11821941000033113,33710311000001109,Axalid 75mg capsules (Kent Pharma (UK) Ltd),Axalid 75mg capsules,Capsule,Oral,Pregabalin,75.000mg
,,,,11822041000033119,33710511000001103,Axalid 100mg capsules (Kent Pharma (UK) Ltd),Axalid 100mg capsules,Capsule,Oral,Pregabalin,100.000mg
,,,,11822141000033115,33712111000001106,Axalid 150mg capsules (Kent Pharma (UK) Ltd),Axalid 150mg capsules,Capsule,Oral,Pregabalin,150.000mg
,,,,11822241000033110,33712511000001102,Axalid 200mg capsules (Kent Pharma (UK) Ltd),Axalid 200mg capsules,Capsule,Oral,Pregabalin,200.000mg
,,,,11822341000033117,33715511000001108,Axalid 225mg capsules (Kent Pharma (UK) Ltd),Axalid 225mg capsules,Capsule,Oral,Pregabalin,225.000mg
,,,,11822441000033111,33715911000001101,Axalid 300mg capsules (Kent Pharma (UK) Ltd),Axalid 300mg capsules,Capsule,Oral,Pregabalin,300.000mg
,,,,1252741000033112,3711611000001107,Sabril 500mg oral powder sachets (Sanofi),Sabril 500mg oral powder sachets,Powder,Oral,Vigabatrin,500.000mg
,,,,12578741000033117,35596611000001107,Depakin 200mg/ml oral solution (Imported (Italy)),Depakin 200mg/ml oral solution,Oral solution,,Sodium valproate,200.000mg/1.000ml
,,,,1258841000033116,184311000001104,Sabril 500mg tablets (Sanofi),Sabril 500mg tablets,Tablet,Oral,Vigabatrin,500.000mg
,,,,12684541000033116,36107311000001106,Ethosuximide 250mg/5ml oral solution sugar free,Ethosuximide 250mg/5ml oral solution sugar free,Oral solution,Oral,Ethosuximide,50.000mg/1.000ml
,,,,12910641000033110,36753211000001109,Topiramate 50mg/5ml oral suspension sugar free,Topiramate 50mg/5ml oral suspension sugar free,Oral suspension,Oral,Topiramate,10.000mg/1.000ml
,,,,12910741000033118,36753111000001103,Topiramate 100mg/5ml oral suspension sugar free,Topiramate 100mg/5ml oral suspension sugar free,Oral suspension,Oral,Topiramate,20.000mg/1.000ml
,,,,13091441000033117,37322611000001104,Dilantin Infatabs 50mg chewable tablets (Imported (Canada)),Dilantin Infatabs 50mg chewable tablets,Chewable tablet,,Phenytoin,50.000mg
,,,,13149541000033117,37573711000001104,Belvo 250mg gastro-resistant tablets (Consilient Health Ltd),Belvo 250mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Valproate semisodium,250.000mg
,,,,13149641000033116,37574111000001103,Belvo 500mg gastro-resistant tablets (Consilient Health Ltd),Belvo 500mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Valproate semisodium,500.000mg
,,,,13348941000033113,37982411000001102,Syonell 250mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd),Syonell 250mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Valproate semisodium,250.000mg
,,,,13349541000033114,37982211000001101,Syonell 500mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd),Syonell 500mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Valproate semisodium,500.000mg
,,,,13352641000033119,12299411000001108,Phenobarbital 100mg tablets,Phenobarbital 100mg tablets,Tablet,Oral,Phenobarbital,100.000mg
,,,,1358241000033111,35928511000001107,Sodium valproate 400mg powder and solvent for solution for injection vials,Sodium valproate 400mg powder and solvent for solution for injection vials,Powder and solvent for solution for injection,Intravenous,Sodium valproate,400.000mg
,,,,1359341000033113,39108211000001105,Sodium valproate 200mg modified-release tablets,Sodium valproate 200mg modified-release tablets,Modified-release tablet,Oral,Sodium valproate,200.000mg
,,,,1359441000033119,39108311000001102,Sodium valproate 300mg modified-release tablets,Sodium valproate 300mg modified-release tablets,Modified-release tablet,Oral,Sodium valproate,300.000mg
,,,,1359541000033118,39108411000001109,Sodium valproate 500mg modified-release tablets,Sodium valproate 500mg modified-release tablets,Modified-release tablet,Oral,Sodium valproate,500.000mg
,,,,1361241000033114,35928211000001109,Sodium valproate 200mg/5ml oral solution,Sodium valproate 200mg/5ml oral solution,Oral solution,Oral,Sodium valproate,40.000mg/1.000ml
,,,,1363641000033113,35928311000001101,Sodium valproate 200mg/5ml oral solution sugar free,Sodium valproate 200mg/5ml oral solution sugar free,Oral solution,Oral,Sodium valproate,40.000mg/1.000ml
,,,,1364941000033115,39107811000001107,Sodium valproate 100mg tablets,Sodium valproate 100mg tablets,Tablet,Oral,Sodium valproate,100.000mg
,,,,1365041000033115,322956002,Sodium valproate 200mg gastro-resistant tablets,Sodium valproate 200mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Sodium valproate,200.000mg
,,,,1365141000033116,322957006,Sodium valproate 500mg gastro-resistant tablets,Sodium valproate 500mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Sodium valproate,500.000mg
,,,,13722141000033112,38998111000001101,Dyzantil 200mg modified-release tablets (Aspire Pharma Ltd),Dyzantil 200mg modified-release tablets,Modified-release tablet,Oral,Sodium valproate,200.000mg
,,,,13722341000033110,38999111000001108,Dyzantil 500mg modified-release tablets (Aspire Pharma Ltd),Dyzantil 500mg modified-release tablets,Modified-release tablet,Oral,Sodium valproate,500.000mg
,,,,13752941000033110,24595411000001108,Zonisamide 100mg/5ml oral suspension,Zonisamide 100mg/5ml oral suspension,Oral suspension,Oral,Zonisamide,20.000mg/1.000ml
,,,,13753041000033117,39205511000001103,Desizon 20mg/ml oral suspension (Desitin Pharma Ltd),Desizon 20mg/ml oral suspension,Oral suspension,Oral,Zonisamide,20.000mg/1.000ml
,,,,13765041000033111,23595311000001103,Phenytoin sodium 100mg capsules (Accord Healthcare Ltd),Phenytoin sodium 100mg capsules,Capsule,Oral,Phenytoin sodium,100.000mg
,,,,1415041000033114,3160011000001104,Tegretol 100mg Chewtabs (Novartis Pharmaceuticals UK Ltd),Tegretol 100mg Chewtabs,Chewable tablet,Oral,Carbamazepine,100.000mg
,,,,1415141000033113,3160911000001100,Tegretol 200mg Chewtabs (Novartis Pharmaceuticals UK Ltd),Tegretol 200mg Chewtabs,Chewable tablet,Oral,Carbamazepine,200.000mg
,,,,1423941000033119,3923811000001107,Tegretol 125mg suppositories (Essential Pharma Ltd),Tegretol 125mg suppositories,Suppository,Rectal,Carbamazepine,125.000mg
,,,,1424041000033117,3924111000001103,Tegretol 250mg suppositories (Essential Pharma Ltd),Tegretol 250mg suppositories,Suppository,Rectal,Carbamazepine,250.000mg
,,,,1424241000033113,760111000001100,Tegretol 100mg/5ml liquid (Novartis Pharmaceuticals UK Ltd),Tegretol 100mg/5ml liquid,Oral suspension,Oral,Carbamazepine,20.000mg/1.000ml
,,,,1425841000033111,680511000001100,Tegretol 100mg tablets (Novartis Pharmaceuticals UK Ltd),Tegretol 100mg tablets,Tablet,Oral,Carbamazepine,100.000mg
,,,,1425941000033115,443711000001108,Tegretol 200mg tablets (Novartis Pharmaceuticals UK Ltd),Tegretol 200mg tablets,Tablet,Oral,Carbamazepine,200.000mg
,,,,1426041000033113,702711000001104,Tegretol 400mg tablets (Novartis Pharmaceuticals UK Ltd),Tegretol 400mg tablets,Tablet,Oral,Carbamazepine,400.000mg
,,,,1428841000033119,261911000001101,Tegretol Prolonged Release 200mg tablets (Novartis Pharmaceuticals UK Ltd),Tegretol Prolonged Release 200mg tablets,Modified-release tablet,Oral,Carbamazepine,200.000mg
,,,,1428941000033110,662611000001103,Tegretol Prolonged Release 400mg tablets (Novartis Pharmaceuticals UK Ltd),Tegretol Prolonged Release 400mg tablets,Modified-release tablet,Oral,Carbamazepine,400.000mg
,,,,1450441000033115,823811000001105,Topamax 100mg tablets (Janssen-Cilag Ltd),Topamax 100mg tablets,Tablet,Oral,Topiramate,100.000mg
,,,,1450541000033119,235111000001108,Topamax 200mg tablets (Janssen-Cilag Ltd),Topamax 200mg tablets,Tablet,Oral,Topiramate,200.000mg
,,,,1450641000033118,138611000001109,Topamax 50mg tablets (Janssen-Cilag Ltd),Topamax 50mg tablets,Tablet,Oral,Topiramate,50.000mg
,,,,1451441000033112,290011000001107,Topamax 25mg tablets (Janssen-Cilag Ltd),Topamax 25mg tablets,Tablet,Oral,Topiramate,25.000mg
,,,,1451541000033113,323024000,Topiramate 100mg tablets,Topiramate 100mg tablets,Tablet,Oral,Topiramate,100.000mg
,,,,1451641000033114,323025004,Topiramate 200mg tablets,Topiramate 200mg tablets,Tablet,Oral,Topiramate,200.000mg
,,,,1451741000033117,323029005,Topiramate 25mg tablets,Topiramate 25mg tablets,Tablet,Oral,Topiramate,25.000mg
,,,,1451841000033110,323023006,Topiramate 50mg tablets,Topiramate 50mg tablets,Tablet,Oral,Topiramate,50.000mg
,,,,1521941000033110,322979001,Vigabatrin 500mg oral powder sachets sugar free,Vigabatrin 500mg oral powder sachets sugar free,Powder,Oral,Vigabatrin,500.000mg
,,,,1522741000033118,322977004,Vigabatrin 500mg tablets,Vigabatrin 500mg tablets,Tablet,Oral,Vigabatrin,500.000mg
,,,,1548241000033112,767111000001104,Zarontin 250mg capsules (Pfizer Ltd),Zarontin 250mg capsules,Capsule,Oral,Ethosuximide,250.000mg
,,,,1550041000033116,782711000001103,Zarontin 250mg/5ml syrup (Essential Pharma Ltd),Zarontin 250mg/5ml syrup,Oral solution,Oral,Ethosuximide,50.000mg/1.000ml
,,,,1729541000033118,260011000001109,Epimaz 100mg tablets (IVAX Pharmaceuticals UK Ltd),Epimaz 100mg tablets,Tablet,Oral,Carbamazepine,100.000mg
,,,,1729641000033117,296811000001104,Epimaz 200mg tablets (Teva UK Ltd),Epimaz 200mg tablets,Tablet,Oral,Carbamazepine,200.000mg
,,,,1729741000033114,760511000001109,Epimaz 400mg tablets (Teva UK Ltd),Epimaz 400mg tablets,Tablet,Oral,Carbamazepine,400.000mg
,,,,1747541000033114,872211000001104,Orlept SF 200mg/5ml liquid (Wockhardt UK Ltd),Orlept SF 200mg/5ml liquid,Oral solution,Oral,Sodium valproate,40.000mg/1.000ml
,,,,1747641000033110,504711000001108,Orlept 200mg gastro-resistant tablets (Wockhardt UK Ltd),Orlept 200mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Sodium valproate,200.000mg
,,,,1747741000033118,220011000001104,Orlept 500mg gastro-resistant tablets (Wockhardt UK Ltd),Orlept 500mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Sodium valproate,500.000mg
,,,,1767341000033110,36061111000001107,Fosphenytoin 750mg/10ml solution for injection vials,Fosphenytoin 750mg/10ml solution for injection vials,Solution for injection,Intravenous/ Intramuscular,Fosphenytoin sodium,75.000mg/1.000ml
,,,,1767441000033116,4390811000001104,Pro-Epanutin 750mg/10ml concentrate for solution for injection vials (Pfizer Ltd),Pro-Epanutin 750mg/10ml concentrate for solution for injection vials,Solution for injection,Intravenous/ Intramuscular,Fosphenytoin sodium,75.000mg/1.000ml
,,,,178741000033110,322890005,Carbamazepine 100mg chewable tablets sugar free,Carbamazepine 100mg chewable tablets sugar free,Chewable tablet,Oral,Carbamazepine,100.000mg
,,,,178841000033117,322889001,Carbamazepine 200mg chewable tablets sugar free,Carbamazepine 200mg chewable tablets sugar free,Chewable tablet,Oral,Carbamazepine,200.000mg
,,,,1847941000033118,4205011000001105,Topamax 15mg sprinkle capsules (Janssen-Cilag Ltd),Topamax 15mg sprinkle capsules,Capsule,Oral,Topiramate,15.000mg
,,,,1848041000033115,4206011000001101,Topamax 25mg sprinkle capsules (Janssen-Cilag Ltd),Topamax 25mg sprinkle capsules,Capsule,Oral,Topiramate,25.000mg
,,,,1870841000033112,322931008,Phenytoin 30mg/5ml oral suspension,Phenytoin 30mg/5ml oral suspension,Oral suspension,Oral,Phenytoin,6.000mg/1.000ml
,,,,198141000033115,322891009,Carbamazepine 100mg/5ml oral suspension sugar free,Carbamazepine 100mg/5ml oral suspension sugar free,Oral suspension,Oral,Carbamazepine,20.000mg/1.000ml
,,,,2033041000033110,323046008,Oxcarbazepine 150mg tablets,Oxcarbazepine 150mg tablets,Tablet,Oral,Oxcarbazepine,150.000mg
,,,,2033141000033114,323047004,Oxcarbazepine 300mg tablets,Oxcarbazepine 300mg tablets,Tablet,Oral,Oxcarbazepine,300.000mg
,,,,2033241000033119,323048009,Oxcarbazepine 600mg tablets,Oxcarbazepine 600mg tablets,Tablet,Oral,Oxcarbazepine,600.000mg
,,,,2033341000033112,3839911000001106,Trileptal 150mg tablets (Novartis Pharmaceuticals UK Ltd),Trileptal 150mg tablets,Tablet,Oral,Oxcarbazepine,150.000mg
,,,,2033441000033118,3672511000001102,Trileptal 300mg tablets (Novartis Pharmaceuticals UK Ltd),Trileptal 300mg tablets,Tablet,Oral,Oxcarbazepine,300.000mg
,,,,2033541000033117,3784111000001104,Trileptal 600mg tablets (Novartis Pharmaceuticals UK Ltd),Trileptal 600mg tablets,Tablet,Oral,Oxcarbazepine,600.000mg
,,,,207541000033111,322887004,Carbamazepine 125mg suppositories,Carbamazepine 125mg suppositories,Suppository,Rectal,Carbamazepine,125.000mg
,,,,207641000033112,322888009,Carbamazepine 250mg suppositories,Carbamazepine 250mg suppositories,Suppository,Rectal,Carbamazepine,250.000mg
,,,,212541000033112,322863001,Carbamazepine 100mg tablets,Carbamazepine 100mg tablets,Tablet,Oral,Carbamazepine,100.000mg
,,,,212641000033113,322864007,Carbamazepine 200mg tablets,Carbamazepine 200mg tablets,Tablet,Oral,Carbamazepine,200.000mg
,,,,212741000033116,322865008,Carbamazepine 400mg tablets,Carbamazepine 400mg tablets,Tablet,Oral,Carbamazepine,400.000mg
,,,,2145941000033118,323021008,Gabapentin 600mg tablets,Gabapentin 600mg tablets,Tablet,Oral,Gabapentin,600.000mg
,,,,2146041000033111,323022001,Gabapentin 800mg tablets,Gabapentin 800mg tablets,Tablet,Oral,Gabapentin,800.000mg
,,,,2146141000033110,511611000001103,Neurontin 600mg tablets (Upjohn UK Ltd),Neurontin 600mg tablets,Tablet,Oral,Gabapentin,600.000mg
