MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength
,,,,1176741000033114,321590000,Risperidone 2mg tablets,Risperidone 2mg tablets,Tablet,Oral,Risperidone,2.000mg
,,,,1176841000033116,321591001,Risperidone 3mg tablets,Risperidone 3mg tablets,Tablet,Oral,Risperidone,3.000mg
,,,,1176941000033112,321592008,Risperidone 4mg tablets,Risperidone 4mg tablets,Tablet,Oral,Risperidone,4.000mg
,,,,1177641000033119,153111000001109,Risperdal 6mg tablets (Janssen-Cilag Ltd),Risperdal 6mg tablets,Tablet,Oral,Risperidone,6.000mg
,,,,1177741000033111,321599004,Risperidone 6mg tablets,Risperidone 6mg tablets,Tablet,Oral,Risperidone,6.000mg
,,,,13581641000033117,38696711000001103,Risperidone 250microgram tablets,Risperidone 250microgram tablets,Tablet,Oral,Risperidone,250.000microgram
,,,,2188141000033115,526611000001101,Risperdal 500microgram tablets (Janssen-Cilag Ltd),Risperdal 500microgram tablets,Tablet,Oral,Risperidone,500.000microgram
,,,,2188241000033110,321602009,Risperidone 500microgram tablets,Risperidone 500microgram tablets,Tablet,Oral,Risperidone,500.000microgram
,,,,2779841000033118,4520711000001102,Risperdal Consta 25mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd),Risperdal Consta 25mg powder and solvent for suspension for injection vials,Powder and solvent for suspension for injection,Intramuscular,Risperidone,25.000mg
,,,,2779941000033114,4166711000001102,Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd),Risperdal Consta 37.5mg powder and solvent for suspension for injection vials,Powder and solvent for suspension for injection,Intramuscular,Risperidone,37.500mg
,,,,2780041000033113,4167011000001101,Risperdal Consta 50mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd),Risperdal Consta 50mg powder and solvent for suspension for injection vials,Powder and solvent for suspension for injection,Intramuscular,Risperidone,50.000mg
,,,,2780141000033112,4559111000001109,Risperidone 25mg powder and solvent for suspension for injection vials,Risperidone 25mg powder and solvent for suspension for injection vials,Powder and solvent for suspension for injection,Intramuscular,Risperidone,25.000mg
,,,,2780241000033117,4176911000001105,Risperidone 37.5mg powder and solvent for suspension for injection vials,Risperidone 37.5mg powder and solvent for suspension for injection vials,Powder and solvent for suspension for injection,Intramuscular,Risperidone,37.500mg
,,,,2780341000033110,4177011000001109,Risperidone 50mg powder and solvent for suspension for injection vials,Risperidone 50mg powder and solvent for suspension for injection vials,Powder and solvent for suspension for injection,Intramuscular,Risperidone,50.000mg
,,,,2868841000033116,4054011000001109,Risperidone 1mg orodispersible tablets sugar free,Risperidone 1mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Risperidone,1.000mg
,,,,2868941000033112,4054111000001105,Risperidone 2mg orodispersible tablets sugar free,Risperidone 2mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Risperidone,2.000mg
,,,,2869041000033115,4039211000001101,Risperdal Quicklet 1mg orodispersible tablets (Janssen-Cilag Ltd),Risperdal Quicklet 1mg orodispersible tablets,Orodispersible tablet,Oral,Risperidone,1.000mg
,,,,2869141000033116,4039711000001108,Risperdal Quicklet 2mg orodispersible tablets (Janssen-Cilag Ltd),Risperdal Quicklet 2mg orodispersible tablets,Orodispersible tablet,Oral,Risperidone,2.000mg
,,,,3246041000033119,9045911000001108,Risperidone 500microgram orodispersible tablets sugar free,Risperidone 500microgram orodispersible tablets sugar free,Orodispersible tablet,Oral,Risperidone,500.000microgram
,,,,3246141000033115,9044211000001100,Risperdal Quicklet 500microgram orodispersible tablets (Janssen-Cilag Ltd),Risperdal Quicklet 500microgram orodispersible tablets,Orodispersible tablet,Oral,Risperidone,500.000microgram
,,,,4012041000033116,11140811000001105,Risperidone 3mg orodispersible tablets sugar free,Risperidone 3mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Risperidone,3.000mg
,,,,4012141000033117,11140911000001100,Risperidone 4mg orodispersible tablets sugar free,Risperidone 4mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Risperidone,4.000mg
,,,,4012241000033112,11134611000001103,Risperdal Quicklet 3mg orodispersible tablets (Janssen-Cilag Ltd),Risperdal Quicklet 3mg orodispersible tablets,Orodispersible tablet,Oral,Risperidone,3.000mg
,,,,4012341000033119,11134311000001108,Risperdal Quicklet 4mg orodispersible tablets (Janssen-Cilag Ltd),Risperdal Quicklet 4mg orodispersible tablets,Orodispersible tablet,Oral,Risperidone,4.000mg
