MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,aurumterm,osteosite
318846012,,,,Closed fracture of distal end of ulna,Wrist
451061019,,,,Closed Barton's fracture,Wrist
54541000006116,,,,Closed fracture of wrist,Wrist
318864017,,,,Closed fracture of lower end of forearm,Wrist
565381000006114,,,,Closed fracture-dislocation radiocarpal joint,Wrist
325400017,,,,"[X]Fracture of forearm, unspecified",Wrist
402860012,,,,Closed fracture of distal end of radius,Wrist
391366010,,,,Fracture of lower end of both ulna and radius,Wrist
565781000006113,,,,"Closed fracture-subluxation, distal radio-ulnar jt",Wrist
391354016,,,,Fracture of lower end of radius,Wrist
318849017,,,,Closed Smith's fracture,Wrist
569521000006119,,,,Closed volar Barton's fracture-dislocation,Wrist
402859019,,,,Closed Colles' fracture,Wrist
565711000006118,,,,Closed fracture-subluxation radiocarpal joint,Wrist
319961016,,,,Closed fracture dislocation of wrist,Wrist
559791000006116,,,,Closed dorsal Barton's fracture,Wrist
565671000006117,,,,Closed fracture subluxation of the wrist,Wrist
318848013,,,,Smith's fracture - closed,Wrist
277200019,,,,Closed reduction of fracture of wrist,Wrist
318862018,,,,"Closed fracture distal radius, intra-articular, other type",Wrist
318851018,,,,Closed volar Barton's fracture,Wrist
561311000006117,,,,Closed dorsal Barton fracture-subluxation,Wrist
793921000006113,,,,Fracture dislocation or subluxation of wrist,Wrist
565251000006112,,,,Closed fracture dislocation distal radioulnar joint,Wrist
318838011,,,,"Closed fracture of forearm, lower end, unspecified",Wrist
318859016,,,,Closed extraarticular fracture of distal radius,Wrist
318845011,,,,"Closed fracture of ulna, lower epiphysis",Wrist
318902015,,,,Closed fracture of forearm,Wrist
318858012,,,,"Closed fracture distal radius, intra-articular, die-punch",Wrist
1229710011,,,,"Closed fracture of ulna, styloid process",Wrist
561321000006113,,,,Closed dorsal Barton's fracture-dislocation,Wrist
485443016,,,,"Closed fracture of radius and ulna, lower end",Wrist
632631000006110,,,,"Dupuytren's fracture, radius - closed",Wrist
1490703015,,,,"Closed fracture radius and ulna, distal",Wrist
208561000006112,,,,Primary closed reduction and internal fixation of proximal femoral fracture with screw/nail and intramedullary device,Hip
391393013,,,,Hip fracture NOS,Hip
299771000000110,,,,"Closed fracture of femur, upper epiphysis",Hip
319087019,,,,"Closed fracture proximal femur, midcervical section",Hip
570611000006114,,,,Closed reduction and internal fixation of proximal femoral fracture with Richard's cannulated hip screw,Hip
319086011,,,,"Closed fracture proximal femur, transepiphyseal",Hip
319140012,,,,Closed fracture of femur,Hip
210531000006116,,,,Primary external fixation(without reduction) of proximal femoral fracture,Hip
402869013,,,,"Closed fracture proximal femur, other transcervical",Hip
208591000006116,,,,Primary open reduction of fracture of neck of femur and open fixation using Deyerle multiple hip pinning,Hip
319093010,,,,"Closed fracture proximal femur, subcapital, Garden grade II",Hip
319123015,,,,"Closed fracture proximal femur, intertrochanteric, two part",Hip
207601000006111,,,,Open reduction of fracture of femur with internal fixation,Hip
319147010,,,,Closed fracture of shaft of femur,Hip
207591000006115,,,,Primary open reduction and internal fixation of proximal femoral fracture with screw/nail and intramedullary device,Hip
319094016,,,,"Closed fracture proximal femur, subcapital, Garden grade III",Hip
570571000006116,,,,"Cls # proximal femur, trochanteric section, unspecified",Hip
570551000006114,,,,"Cls # prox femur, subcapital, Garden grade unspec.",Hip
208701000006117,,,,Prim open reduct # neck femur & op fix - Massie nail plate,Hip
411307011,,,,"Closed fracture of femur, greater trochanter",Hip
570531000006119,,,,"Cls # of proximal femur, pertrochanteric section, NOS",Hip
565801000006112,,,,"Closed fracture-subluxation, hip joint",Hip
319084014,,,,"Closed fracture proximal femur, transcervical",Hip
565211000006111,,,,"Closed fracture, base of neck of femur",Hip
277185016,,,,Closed reduction of fracture of hip,Hip
391392015,,,,Subtrochanteric fracture,Hip
210031000006112,,,,Closed reduction of fracture of femur with internal fixation,Hip
208731000006113,,,,Primary open reduction of fracture of neck of femur and open fixation using Richards screw,Hip
319118015,,,,"Closed fracture of proximal femur, pertrochanteric",Hip
319138019,,,,Pertrochanteric fracture,Hip
370861000000115,,,,Delivery of rehabilitation for hip fracture,Hip
208681000006115,,,,Primary open reduction of fracture of neck of femur and open fixation using Holt nail,Hip
208641000006114,,,,Prim open red # neck femur & op fix - McLaughlin nail plate,Hip
10843018,,,,Fracture of neck of femur,Hip
210941000006118,,,,Primary internal fixation(without reduction) of proximal femoral fracture with screw/nail and intramedullary device,Hip
319124014,,,,"Closed fracture proximal femur, subtrochanteric",Hip
208741000006115,,,,Primary open reduction of fracture of neck of femur and open fixation using Ross Brown nail,Hip
208671000006118,,,,Prim open reduct # neck femur & op fix - Blount nail plate,Hip
208611000006110,,,,Prim op red # nck femur & op fix- Zickel intramed nail plate,Hip
208691000006117,,,,Prim open reduct # neck femur & op fix - Jewett nail plate,Hip
319092017,,,,"Closed fracture proximal femur, subcapital, Garden grade I",Hip
210151000006118,,,,Primary closed reduction and external fixation of proximal femoral fracture,Hip
210041000006119,,,,Primary closed reduction and internal fixation of proximal femoral fracture with screw/nail and plate device,Hip
208711000006119,,,,Prim open reduct # neck femur & op fix - Neufield nail plate,Hip
319095015,,,,"Closed fracture proximal femur, subcapital, Garden grade IV",Hip
210931000006111,,,,Primary internal fixation(without reduction) of proximal femoral fracture with screw/nail and plate device,Hip
562981000006117,,,,Closed intertrochanteric fracture,Hip
564491000006115,,,,"Closed fracture proximal femur, transcervical, NOS",Hip
564391000006113,,,,Closed fracture of base of neck of femur,Hip
570621000006118,,,,Closed reduction of fracture of proximal femur and internal fixation using bone screw,Hip
207611000006114,,,,Primary open reduction and internal fixation of proximal femoral fracture with screw/nail and plate device,Hip
319090013,,,,Closed fracture head of femur,Hip
567461000006115,,,,Closed reduction of intracapsular fracture of neck of femur and internal fixation using a dynamic hip screw,Hip
411308018,,,,"Closed fracture of femur, lesser trochanter",Hip
793901000006115,,,,Fracture dislocation or subluxation hip,Hip
570561000006111,,,,"Closed fracture proximal femur, intertrochanteric, comminuted",Hip
208601000006112,,,,Primary open reduction of fracture of neck of femur and open fixation using Charnley compression screw,Hip
391384012,,,,Hip fracture,Hip
411305015,,,,"Closed fracture of femur, subcapital",Hip
210921000006113,,,,Internal fixation of femur without fracture reduction,Hip
208721000006110,,,,Prim open reduct # neck femur & op fix - Pugh nail plate,Hip
565451000006113,,,,"Closed fracture dislocation, hip joint",Hip
570541000006112,,,,Closed fracture of intracapsular section of femur,Hip
312177015,,,,Other specified pathological fracture,Any OP site
312160015,,,,Idiopathic osteoporosis with pathological fracture,Any OP site
400338014,,,,Pathological fracture,Any OP site
556881000000111,,,,Minimal trauma fracture due to unspecified osteoporosis,Any OP site
312681016,,,,[X]Other osteoporosis with pathological fracture,Any OP site
557111000000111,,,,Minimal trauma fracture,Any OP site
318642011,,,,Cough fracture,Any OP site
318641016,,,,Cough fracture of ribs,Any OP site
312156018,,,,Postoophorectomy osteoporosis with pathological fracture,Any OP site
545121000000114,,,,Fragility fracture,Any OP site
312159013,,,,Drug-induced osteoporosis with pathological fracture,Any OP site
312157010,,,,Osteoporosis of disuse with pathological fracture,Any OP site
312165013,,,,Postmenopausal osteoporosis with pathological fracture,Any OP site
312689019,,,,[X]Unspecified osteoporosis with pathological fracture,Any OP site
212441000006112,,,,Post-surgical malabsorption osteoporosis with pathological fracture,Any OP site
216206018,,,,Pathological fracture due to osteoporosis,Any OP site
312178013,,,,Pathological fracture NOS,Any OP site
129911000006119,,,,Sponanteous fracture,Any OP site
319227014,,,,Closed fracture distal tibia,
793891000006119,,,,Fracture dislocation or subluxation foot,
318436017,,,,"Closed fracture thoracic vertebra, burst",
909211000006118,,,,[RFC] Fracture/ trauma,
318920012,,,,"Closed fracture scaphoid, waist, oblique",
318909012,,,,"Closed fracture of radius and ulna, NOS",
255741000006119,,,,"Open fracture-subluxation, metacarpophalangeal joint",
318917016,,,,"Closed fracture hamate, hook",
4306181000006112,,,,Open reduction of fracture with fixation,
565701000006116,,,,Closed fracture-subluxation peri-lunate trans-scaphoid,
875661000006118,,,,# - external fixation,
318375010,,,,"Closed fracture atlas, isolated arch or articular process",
875691000006114,,,,Closed reduction-# metatarsus,
319010012,,,,"Closed fracture finger middle phalanx, multiple",
1727771000006111,,,,Open fracture of tibial plateau,
402830019,,,,Multiple fractures involving skull or face with other bones,
564861000006114,,,,Closed fracture of shaft of tibia,
570851000006111,,,,"Closed spinal fracture with anterior thoracic cord lesion, T1-6",
318448019,,,,"Open fracture thoracic vertebra, wedge",
208881000006116,,,,Prim open reduction fracture bone & intramedullary fixatn OS,
209771000006118,,,,Primary closed reduction of # and skeletal traction NEC,
3629081000006117,,,,Open fracture of head of radius,
318542015,,,,Open fracture of thoracic spine with spinal cord lesion,
5461901000006111,,,,Fracture of neck of humerus,
792411000006118,,,,Fractures involving thorax with lower back and pelvis with limb(s),
3525245015,,,,Bilateral sacral insufficiency fracture,
7585821000006115,,,,Stress fracture of toe,
420142011,,,,Weber type C fracture,
318434019,,,,Open fracture of cervical spine not otherwise specified,
1230102017,,,,Open fracture capitate,
394586014,,,,Other reduction of fracture of spine,
318427016,,,,"Open fracture cervical vertebra, wedge",
5461641000006116,,,,Fractured nose,
319146018,,,,Fracture of femur,
318784013,,,,"Closed fracture distal humerus, lateral condyle",
318422010,,,,"Open fracture axis, spinous process",
5657961000006114,,,,Wedge fracture of lumbar vertebra,
318831017,,,,Closed fracture of shaft of radius and/or ulna,
318423017,,,,"Open fracture axis, transverse process",
402847018,,,,Open fracture of sixth cervical vertebra,
318941018,,,,Fracture of metacarpal bone,
560251000006119,,,,"Closed #skull NOS no intracranial inj, unspec state of consc",
3687721000006119,,,,Open fracture of navicular bone of foot,
570811000006110,,,,Closed fracture of C1-C4 level with spinal cord injury,
567011000006114,,,,Closed reduction of bone fracture and internal fixation NOS,
208811000006111,,,,Primary reduction of fracture of long bone and fixation using Hicks plate,
40395011,,,,Skull base fracture,
318675015,,,,"Closed fracture pelvis, multiple pubic rami - stable",
255801000006112,,,,"Open fracture-subluxation, tarsometatarsal joint",
3655551000006115,,,,Open fracture of shaft of clavicle,
991051000006110,,,,#Tarsal/metatarsal bone NOS,
209811000006118,,,,Primary closed reduction of fracture dislocation and skin traction,
531621000006112,,,,Closed fracture of third cervical vertebra without spinal cord injury,
53428014,,,,Fracture of tibia,
402876015,,,,"Closed fracture of tibia and fibula, unspecified part, NOS",
208821000006115,,,,Primary open reduction of fracture of long bone and fixation using flexible nail,
2606951000006119,,,,Closed trimalleolar fracture,
7306111000006110,,,,Open fracture of distal tibia and distal fibula,
263991000006117,,,,"Open #skull/face, mult, no intracranial inj, unspec consc",
318387015,,,,"Closed fracture cervical vertebra, transverse process",
5460691000006117,,,,Fracture dislocation of knee joint,
455451013,,,,Closed fracture of great toe,
1494730015,,,,"Open fracture of mandible, alveolar border of body",
402841017,,,,Open fracture of cervical spine,
1228159014,,,,"Closed fracture ankle, lateral malleolus",
3860841000006110,,,,Fracture of transverse process of vertebra,
7818551000006118,,,,Fracture of third lumbar vertebra,
318514017,,,,Open fracture of cervical spine with spinal cord lesion,
318528011,,,,Closed fracture of thoracic spine with spinal cord lesion,
276483013,,,,Spinal extension traction for fracture of spine,
570671000006117,,,,"Closed spinal fracture with anterior cervical cord lesion, C1-4",
73439011,,,,Open fracture of five ribs,
318986015,,,,"Closed fracture of phalanx or phalanges, unspecified",
3189391000006111,,,,Open fracture of shaft of ulna,
276161017,,,,Other specified reduction of fracture of mandible,
44421000006110,,,,"Open spinal fracture with anterior cervical cord lesion, C5-7",
5722031000006113,,,,Pathological fracture - upper arm,
4198141000006110,,,,Closed fracture of acromial process of scapula,
318483015,,,,Fracture of second cervical vertebra,
319159014,,,,"Closed fracture of distal femur, unspecified",
318390014,,,,Multiple closed fractures of cervical vertebrae,
402836013,,,,Closed fracture of third cervical vertebra,
570821000006119,,,,Closed fracture of C5-C7 level with spinal cord injury,
402846010,,,,Open fracture of fifth cervical vertebra,
319161017,,,,"Closed fracture of femur, lower epiphysis",
570631000006115,,,,"Cls spinal # with incomplete cervical cord lesion, C1-4 NOS",
3326971000006115,,,,"Fracture, intra-articular",
39287017,,,,Fracture of upper limb,
3192371000006117,,,,Compression fracture of vertebral column,
318383016,,,,"Closed fracture cervical vertebra, burst",
461560011,,,,[Q] Open fracture grade 3C,
255691000006116,,,,"Open fracture-subluxation, hip joint",
1221230012,,,,"Fracture of palate, closed",
402845014,,,,Open fracture of fourth cervical vertebra,
9869431000006114,,,,Periprosthetic fracture of proximal femur,
895201000006114,,,,#Mandible,
5133101000006117,,,,Fixation of fracture using external fixator,
3709301000006112,,,,Open fracture of phalanx of foot,
4840571000006113,,,,Multiple fractures of lumbar spine and/or pelvis,
3298291000006110,,,,Closed fracture of orbital floor (blow-out),
325294016,,,,[X]Fractures of other skull and facial bones,
318248017,,,,Open fracture of facial bones,
318384010,,,,"Closed fracture cervical vertebra, wedge",
1589031000006110,,,,Secondary open reduction of fracture dislocation of joint and fixation of joint,
29481000006111,,,,Other fracture-dislocation or subluxation,
402837016,,,,Closed fracture of fourth cervical vertebra,
325341011,,,,[X]Fracture of other parts of bony thorax,
318600014,,,,Open fracture of spine with spinal cord lesion unspecified,
5655911000006116,,,,Closed reduction and fixation of fracture,
318705012,,,,"Open fracture pelvis, iliac wing",
895171000006110,,,,#Base of skull,
5460491000006115,,,,Hangman's fracture,
7957581000006111,,,,Fracture of greater tuberosity of humerus,
318786010,,,,"Closed fracture of distal humerus, condyle(s) unspecified",
455022017,,,,Fracture of other parts of bony thorax,
4850221000006112,,,,Open fracture dislocation of pelvis,
277210011,,,,Primary closed reduction of fracture and skin traction,
318377019,,,,"Closed fracture axis, odontoid process",
749211000006115,,,,Le Fort II fracture maxilla,
895341000006116,,,,#Lumbar spine + cord lesion,
560471000006111,,,,"Closed #skull/face, mult+intracran inj, >24hr LOC+recovery",
318663013,,,,Closed fracture acetabulum NOS,
895281000006117,,,,#Thoracic spine-no cord lesion,
4378871000006112,,,,Fracture of thoracic spine,
318682016,,,,"Open fracture pelvis, single pubic ramus",
318665018,,,,"Open fracture acetabulum, posterior lip alone",
276168011,,,,Reduction of Le Fort 1 fracture of maxilla,
5888361000006114,,,,Primary closed reduction of fracture dislocation,
3872081000006117,,,,Open reduction of fracture of fibula with internal fixation,
560341000006111,,,,"Closed #skull vlt no intracranial inj, LOC unspec duration",
2826011000006118,,,,Fracture of hand bone,
570861000006113,,,,"Closed spinal fracture with complete thoracic cord lesion, T1-6",
932541000006117,,,,Open # reduction+intern.fixat.,
3170691000006115,,,,Closed fractures of tarsal AND metatarsal bones,
566991000006115,,,,Closed reduction of bone fracture and external fixation NOS,
451463012,,,,Pathological fracture of cervical vertebra,
255991000006113,,,,Open fracture-dislocation peri-lunate trans-scaphoid,
209791000006117,,,,Primary closed reduction of fracture dislocation and external fixation,
3920511000006113,,,,Closed fracture of shaft of clavicle,
4841671000006118,,,,Multiple fracture of thoracic vertebrae,
570791000006111,,,,"Closed spinal fracture with posterior thoracic cord lesion, T1-6",
570731000006112,,,,"Closed spinal fracture with central thoracic cord lesion, T7-12",
205491000006111,,,,Primary open reduction of cervical spine fracture and collar stabilisation,
895441000006112,,,,#Pelvis NOS,
3501521000006112,,,,Bennett's fracture,
895761000006116,,,,#Tibia/fibula - upper end,
318882019,,,,Open volar Barton's fracture,
319174011,,,,"Open fracture distal femur, lateral condyle",
210131000006113,,,,Primary closed reduction cervical spine fracture and collar stabilisation,
277259010,,,,Primary skeletal traction of fracture,
1233093015,,,,"Closed fracture radius, head",
130281012,,,,Fracture of sternum,
506042015,,,,Closed reduction of fracture of upper limb,
3285911000006115,,,,Closed fracture of sternal end of clavicle,
256041000006111,,,,"Open fracture-dislocation sterno-clavicular joint, posterior",
318571019,,,,Closed fracture of sacrum with spinal cord lesion,
318678018,,,,"Closed fracture pelvis, multiple pubic rami - unstable",
318950016,,,,Closed fracture finger metacarpal head,
319048019,,,,"Open fracture finger distal phalanx, multiple",
5388691000006112,,,,Open repair of zygomatic fracture,
560081000006115,,,,"Closed #skull bse no intracranial injury, 1-24hr loss consc",
318419013,,,,"Open fracture atlas, comminuted",
319031010,,,,"Open fracture thumb distal phalanx, mallet",
100941000006118,,,,Thumb fracture excluding base,
319025012,,,,"Open fracture thumb proximal phalanx, neck",
1232117011,,,,Closed fracture rib,
277180014,,,,Other closed reduction of fracture of bone,
895371000006112,,,,#Rib,
318216016,,,,"Open fracture of mandible, ramus, unspecified",
875341000006110,,,,Surgical # reduction,
565351000006118,,,,Closed fracture-dislocation other carpal,
319035018,,,,"Open fracture finger proximal phalanx, neck",
318583017,,,,Open fracture of sacrum with complete cauda equina lesion,
4849581000006118,,,,Closed fracture dislocation of knee joint,
256341000006113,,,,Open fracture-subluxation of the wrist,
318919018,,,,"Closed fracture scaphoid, waist, transverse",
5965441000006118,,,,Angulated fracture,
391357011,,,,Fracture of ulna,
403161016,,,,Fracture,
319254012,,,,"Open fracture ankle, lateral malleolus, low",
318467015,,,,"Open fracture lumbar vertebra, transverse process",
560111000006114,,,,Closed #skull NOS + intracranial inj + concussion unspec,
1220743019,,,,Multiple fractures of ribs,
402856014,,,,Open fracture of the distal humerus,
44361000006110,,,,"Open fracture thumb metacarpal base, intra-articular, Rolando",
895901000006119,,,,#Phalanges of foot - toe,
5526331000006114,,,,Fracture of shaft of tibia and fibula,
178856011,,,,Open fracture of facial bones,
5462511000006113,,,,Pilon fracture,
1230277019,,,,Open fracture rib,
205051000006110,,,,Primary open reduction of fracture of patella and fixation with tension band wiring,
565591000006115,,,,Closed fracture-subluxation elbow,
318199016,,,,Closed fracture mandible (site unspecified),
455023010,,,,Closed fracture of other parts of bony thorax,
1219674017,,,,Open fracture radial neck,
256121000006115,,,,"Open fracture-dislocation, IPJ, multiple toes",
318721019,,,,Closed fracture of bones of trunk,
895571000006117,,,,Fracture of distal end of ulna,
222381000000112,,,,Os calcis fracture,
4848841000006118,,,,Closed fracture subluxation elbow,
3096901000006116,,,,Open reduction of fracture of humerus with internal fixation,
210391000006114,,,,Primary excision of intra-articular fragment of intra-articular fracture of bone,
264271000006114,,,,"Open #skull NOS + intracranial inj, <1hr loss of consc",
318353013,,,,Closed fracture of unspecified cervical vertebra,
96634011,,,,Open fracture of four ribs,
4839401000006113,,,,Closed fracture of mandible,
318673010,,,,Closed fracture pubis,
318449010,,,,"Open fracture thoracic vertebra, spondylolysis",
1756451000006110,,,,Fracture of tibial plateau,
277184017,,,,Remanipulation of fracture of bone NEC,
325417012,,,,[X]Fracture of other carpal bone(s),
895291000006119,,,,#Lumbar spine - no cord lesion,
455446019,,,,"Closed multiple fractures of clavicle, scapula and humerus",
151881000006116,,,,Secondary open reduction fracture dislocation of joint NEC,
319264015,,,,"Open fracture ankle, bimalleolar, high fibular fracture",
895561000006112,,,,Colles fracture,
259481000006119,,,,Open fracture involving thorax wth lower back and pelvis and limbs,
560421000006110,,,,Closed #skull vlt with intracranial injury+concussion unspec,
5652701000006112,,,,Fracture of coronoid process of ulna,
2648041000006112,,,,Fracture of multiple sites of metacarpus,
2121141000000114,,,,Vascular injury associated with fracture dislocation,
895871000006119,,,,#Ankle - NOS,
319183018,,,,"Closed fracture patella, distal pole",
7818521000006110,,,,Fracture of first lumbar vertebra,
318217013,,,,"Open fracture of mandible, angle of jaw",
560301000006114,,,,"Closed fracture of vault of skull with intracranial injury, with 1-24 hours loss of consciousness",
565471000006115,,,,"Closed fracture-dislocation, IPJ, multiple toes",
319134017,,,,"Open fracture proximal femur, subtrochanteric",
402843019,,,,Open fracture axis,
5657981000006116,,,,Crush fracture of lumbar vertebra,
5559701000006110,,,,Surgical reduction of fracture,
318465011,,,,"Open fracture lumbar vertebra, spondylolysis",
5657971000006119,,,,Collapse wedge fracture of lumbar vertebra,
5462151000006116,,,,Fracture of neck of fifth metacarpal,
318790012,,,,"Closed fracture distal humerus, bicondylar (T-Y fracture)",
5570261000006113,,,,MUA - Manipulation under anaesthetic of fractured nasal bones,
559981000006117,,,,"Closed fracture of base of skull with intracranial injury, with less than 1 hour loss of consciousness",
4396061000006115,,,,Extracapsular fracture of neck of femur,
565411000006112,,,,Closed fracture-dislocation superior radio-ulnar joint,
258091000006115,,,,Open fracture of phalanx of toe,
318593012,,,,Open fracture of coccyx with spinal cord lesion,
5462221000006115,,,,Fracture of ischial tuberosity,
43041000006111,,,,Open reduction of fracture of spine and excision of facet of spine,
492641015,,,,Open fracture of foot,
256061000006110,,,,"Open fracture dislocation, ankle joint",
318420019,,,,"Open fracture axis, odontoid process",
7585901000006119,,,,Stress fracture of hip,
3654401000006119,,,,Segmental fracture,
3682321000006115,,,,Fracture,
3872881000006113,,,,Closed reduction # arm,
5509811000006110,,,,Closed fracture of first cervical vertebra,
318418017,,,,"Open fracture atlas, isolated arch or articular process",
5904361000006113,,,,Closed fracture of elbow,
256751000006111,,,,Open fracture-dislocation multiple digits,
3867051000006117,,,,Fracture of pisiform bone of wrist,
5462371000006111,,,,Fracture of distal end of femur,
319293015,,,,"Closed fracture talus, head",
254521000006118,,,,"Open multiple fractures involving both upper limbs, and upper limb with rib(s) and sternum",
531581000006112,,,,Open fracture of first cervical vertebra without mention of spinal cord lesion,
3767091000006114,,,,Closed reduction of fracture of ulna,
895141000006119,,,,#Skull,
391330014,,,,Closed fracture of axis without spinal cord lesion,
402828016,,,,Fracture of facial bone NOS,
319173017,,,,"Open fracture distal femur, medial condyle",
276510019,,,,Primary closed reduction spinal fracture alone,
1231287012,,,,Open fracture medial cuneiform,
318135012,,,,Open fracture vault of skull with intracranial injury,
52931000006111,,,,"Open fracture of vault of skull with intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level",
2770946011,,,,Closed fracture of facial bone,
570931000006114,,,,Closed fracture of phalanx of finger,
318969014,,,,Open fracture finger metacarpal head,
318923014,,,,"Closed fracture carpal bones, multiple",
3657241000006114,,,,Closed fracture of proximal end of radius,
205451000006117,,,,Primary open reduction spinal fracture and skull traction stabilisation,
5657991000006118,,,,Burst fracture of lumbar vertebra,
318787018,,,,"Closed fracture of distal humerus, trochlea",
1668051000000112,,,,Open fracture of tibial plateau,
318773018,,,,Closed fracture of humerus,
565191000006110,,,,Closed fracture of vault of skull without intracranial injury,
402834011,,,,Closed fracture atlas,
7586321000006119,,,,Closed fracture of proximal phalanx of ring finger,
218101000006119,,,,Posterior fossa fracture,
44341000006111,,,,"Opn # proximal femur, intracapsular section, unspecified",
1727761000006116,,,,Fracture of tibial plateau,
264321000006118,,,,"Open #skull NOS + intracranial inj, unspec state of consc",
264001000006114,,,,"Open #skull/face,mult + intracran inj, >24hr LOC no restored",
5461961000006112,,,,Fracture of radial head,
318451014,,,,"Open fracture thoracic vertebra, transverse process",
5658381000006116,,,,Mason type III fracture,
318551000006118,,,,[Q] Open fracture grade 3A,
36906016,,,,Open fracture of three ribs,
318455017,,,,"Closed fracture lumbar vertebra, burst",
52921000006113,,,,"Open #skull NOS + intracranial inj, >24hrs LOC + recovery",
318693019,,,,"Closed fracture pelvis, anterior inferior iliac spine",
277940018,,,,Primary closed reduction of fracture dislocation alone,
136121013,,,,Fracture of carpal bone,
319022010,,,,Open fracture thumb proximal phalanx,
2833231000006112,,,,"Fracture, closed",
319268017,,,,"Open fracture ankle, trimalleolar, high fibular fracture",
263961000006113,,,,"Open #skull/face, mult, no intracranial inj, <1hr LOC",
4396091000006111,,,,Intertrochanteric fracture of femur,
4848811000006117,,,,Open fracture dislocation elbow joint,
3776781000006119,,,,Open fracture of proximal end of ulna,
391329016,,,,Closed fracture of atlas without spinal cord injury,
2654191000006114,,,,Fracture of shoulder blade,
564011000006117,,,,"Closed fracture of tibia and fibula, proximal",
5462271000006119,,,,Intracapsular fracture of neck of femur,
364017010,,,,"Closed fracture of tibia and fibula, proximal",
3298311000006114,,,,Closed blow-out fracture orbit,
319222015,,,,"Closed fracture of tibia and fibula, shaft",
2573541000006116,,,,Open fracture of lateral malleolus,
263981000006115,,,,"Open #skull/face, mult, no intracranial inj, no loss consc",
318244015,,,,Closed fracture of facial bone,
565881000006115,,,,"Closed fracture-subluxation, proximal interphalangeal joint",
5657801000006119,,,,Fracture of lamina of cervical vertebra,
564071000006114,,,,Closed fracture of tibia AND fibula,
563791000006110,,,,Closed fracture of skull NOS without intracranial injury,
875631000006110,,,,Open # reduction,
318918014,,,,"Closed fracture scaphoid, proximal pole",
318256019,,,,Other and unqualified skull fractures,
318285013,,,,Open fracture of skull NOS with intracranial injury,
264411000006116,,,,Open #skull NOS without mention of intracranial injury,
807141000006110,,,,Greenstick fracture,
318718016,,,,Closed fracture of pelvis,
5658411000006118,,,,Acetabular fracture types,
3619801000006110,,,,Closed fracture of head of radius,
5460641000006114,,,,Fracture dislocation of finger or thumb,
318582010,,,,Open fracture of sacrum with unspecified spinal cord lesion,
3106031000006116,,,,Closed fracture of lunate bone of wrist,
5461591000006114,,,,Fracture of medial wall of orbit,
7504191000006113,,,,Compression fracture of thoracic spine,
6048941000006119,,,,Wedge fracture of vertebra,
318720018,,,,Fracture of ill-defined bones of trunk,
3192381000006119,,,,Compression fracture of spine,
4848861000006119,,,,Closed fracture subluxation superior radioulnar joint,
49861000006117,,,,Open volar Barton fracture-subluxation,
319241017,,,,Closed fracture of tibia,
895541000006113,,,,#Radius/ulna -shaft,
892441000006117,,,,Path.fracture - hand,
563891000006116,,,,Closed fracture of upper end of tibia,
